SCORE:,total_score,coordinate_constraint,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,res_type_constraint,rmsd,stability_pure,stability_score_full,stability_without_pssm,timer,yhh_planarity,description
SCORE:,-1243.383,10.648,0,-2728.437,485.841,-781.011,4.939,89.14,397.76,1626.5,-108.445,-92.238,-68.037,-199.56,-67.407,49.201,-88.961,1.083,49.303,176.144,0.154,lowest_energy_1505_0001,,,,,,
SCORE:,-1243.381,10.28,0,-2723.373,482.97,-780.207,4.92,89.102,392.92,1630.406,-108.121,-91.882,-68.115,-199.294,-67.478,49.439,-88.991,1.028,48.053,174.809,0.153,lowest_energy_0307_0001,,,,,,
SCORE:,-1243.362,10.583,0,-2733.057,488.3,-780.88,4.945,89.555,396.098,1634.567,-108.377,-92.358,-67.998,-199.415,-67.816,49.116,-89.239,1.101,47.97,173.39,0.154,lowest_energy_1319_0001,,,,,,
SCORE:,-1243.353,10.464,0,-2734.064,487.303,-780.056,4.944,89.582,397.091,1632.427,-108.026,-92.069,-67.496,-199.483,-66.9,49.163,-89.621,1.043,48.803,173.39,0.153,lowest_energy_1913_0001,,,,,,
SCORE:,-1243.31,10.143,0,-2719.974,482.443,-780.438,4.916,89.029,391.808,1628.3,-108.255,-92.101,-68.025,-199.291,-67.138,49.51,-88.642,1.039,49.246,173.966,0.153,lowest_energy_0202_0001,,,,,,
SCORE:,-1243.226,10.396,0,-2725.538,485.388,-780.591,4.923,89.358,394.067,1630.086,-108.04,-92.037,-68.171,-199.296,-67.301,49.402,-89.413,1.01,48.619,173.758,0.153,lowest_energy_0710_0001,,,,,,
SCORE:,-1243.19,10.527,0,-2727.857,487.283,-780.642,4.977,89.307,397.085,1624.354,-108.597,-92.441,-66.613,-199.325,-67.037,49.481,-89.464,1.069,48.1,176.451,0.154,lowest_energy_0909_0001,,,,,,
SCORE:,-1243.128,10.492,0,-2728.1,484.87,-780.638,4.916,89.432,394.03,1631.456,-108.165,-92.078,-68.166,-199.393,-67.731,49.452,-90.179,1.14,55.481,169.9,0.153,lowest_energy_1604_0001,,,,,,
SCORE:,-1243.116,10.362,0,-2725.741,486.012,-780.845,4.931,89.865,393.386,1636.076,-107.866,-91.959,-68.147,-199.208,-67.319,49.461,-89.584,1.018,47.93,168.358,0.153,lowest_energy_1011_0001,,,,,,
SCORE:,-1243.113,10.296,0,-2722.895,483.673,-781.877,4.939,89.162,394.429,1629.254,-108.21,-92.077,-67.993,-199.5,-67.232,49.261,-88.389,1.036,48.71,174.147,0.153,lowest_energy_0606_0001,,,,,,
SCORE:,-1243.108,10.252,0,-2731.889,487.18,-779.629,4.947,89.396,395.105,1634.359,-108.339,-92.209,-67.909,-199.13,-67.416,49.474,-89.296,1.023,48.036,172.786,0.153,lowest_energy_1315_0001,,,,,,
SCORE:,-1243.1,10.361,0,-2732.707,487.61,-780.768,4.939,89.98,397.01,1631.702,-107.832,-92.211,-67.68,-199.454,-66.853,49.166,-89.454,1.051,49.124,172.764,0.153,lowest_energy_1910_0001,,,,,,
SCORE:,-1243.039,10.243,0,-2723.579,482.921,-780.514,4.919,89.039,393.804,1627.479,-108.117,-91.825,-68.087,-199.273,-67.253,49.469,-88.704,1.02,48.842,176.423,0.153,lowest_energy_0207_0001,,,,,,
SCORE:,-1243.039,10.727,0,-2726.382,485.271,-779.615,4.935,89.333,394.183,1631.274,-107.45,-92.146,-67.96,-199.237,-67.772,49.607,-89.128,1.03,48.003,172.136,0.153,lowest_energy_0318_0001,,,,,,
SCORE:,-1243.037,10.131,0,-2727.886,486.44,-780.895,4.935,89.761,395.148,1634.1,-108,-91.931,-68.019,-199.286,-67.559,49.432,-89.766,1.023,47.826,171.355,0.153,lowest_energy_1115_0001,,,,,,
SCORE:,-1243.027,10.651,0,-2729.156,487.819,-781.996,4.926,90.02,394.246,1637.135,-108.113,-91.922,-68.111,-199.425,-67.653,49.549,-89.562,1.062,47.951,169.397,0.153,lowest_energy_1116_0001,,,,,,
SCORE:,-1242.989,10.36,0,-2723.305,483.504,-781.596,4.928,89.121,395.24,1631.343,-108.329,-91.859,-68.047,-199.342,-67.311,49.293,-88.916,1.018,48.048,172.706,0.153,lowest_energy_0603_0001,,,,,,
SCORE:,-1242.956,10.27,0,-2727.995,489.657,-781.16,4.951,90.326,393.194,1636.517,-108.108,-91.925,-68.023,-199.313,-68.216,49.539,-89.825,1.028,47.725,168.247,0.153,lowest_energy_1112_0001,,,,,,
SCORE:,-1242.944,10.184,0,-2723.476,482.7,-780.943,4.918,89.067,393.308,1629.81,-108.112,-92.081,-68.056,-199.269,-67.194,49.403,-89.101,1.011,48.838,175.897,0.153,lowest_energy_0702_0001,,,,,,
SCORE:,-1242.896,10.598,0,-2728.354,487.129,-780.878,4.94,89.832,393.519,1635.078,-107.785,-91.893,-68.079,-199.316,-67.846,49.908,-89.287,1.071,48.035,170.28,0.153,lowest_energy_1118_0001,,,,,,
SCORE:,-1242.859,10.796,0,-2722.368,484.223,-781.015,4.933,89.268,395.474,1628.084,-108.4,-92.013,-68.023,-199.614,-68.076,49.697,-89.074,1.052,48.27,173.772,0.154,lowest_energy_1305_0001,,,,,,
SCORE:,-1242.852,10.861,0,-2723.075,482.657,-780.444,4.907,89.249,394.67,1629.535,-108.59,-91.861,-68.047,-199.787,-68.516,49.128,-89.879,1.063,55.635,169.486,0.154,lowest_energy_1304_0001,,,,,,
SCORE:,-1242.8,10.201,0,-2727.424,489.514,-781.601,4.934,90.546,392.875,1638.287,-108.081,-91.884,-68.181,-199.379,-68.078,49.661,-89.975,1.066,47.592,166.973,0.153,lowest_energy_1114_0001,,,,,,
SCORE:,-1242.773,10.395,0,-2721.226,483.588,-780.834,4.945,89.303,396.444,1626.639,-108.414,-92.207,-68.084,-199.56,-67.45,49.377,-89.178,1.064,48.414,173.858,0.154,lowest_energy_0309_0001,,,,,,
SCORE:,-1242.769,10.345,0,-2725.543,486.068,-779.981,4.953,89.41,393.626,1631.681,-107.835,-92.234,-68.658,-199.24,-67.425,49.485,-88.766,1.023,48.516,171.655,0.153,lowest_energy_0610_0001,,,,,,
